name,ligID,targetID_autodock,instance_autodock,autodock,targetID_vina,instance_vina,vina,targetID_dsx,instance_dsx,dsx,rmsd_autodock_vina,rmsd_autodock_dsx,consensus
ZINC000000000813,lig0301,target001,autodock,-7.330,target001,vina,-6.085,target001,vina,-92.540,3.866,5.777,False
ZINC000000000814,lig0302,target001,vina,-8.930,target001,vina,-6.766,target001,vina,-99.881,0.000,6.310,False
ZINC000000000815,lig0303,target001,autodock,-7.900,target001,autodock,-6.094,target001,autodock,-92.511,6.974,6.974,False
ZINC000000000817,lig0304,target001,vina,-7.700,target001,autodock,-7.345,target001,vina,-93.295,3.176,6.966,False
ZINC000000000818,lig0305,target001,autodock,-6.880,target001,autodock,-5.835,target001,autodock,-106.723,0.000,7.235,False
ZINC000000000825,lig0306,target001,autodock,-4.720,target001,autodock,-5.096,target001,vina,-56.997,4.846,4.142,False
ZINC000000000826,lig0307,target001,vina,-6.910,target001,autodock,-7.304,target001,vina,-84.900,4.293,0.000,False
ZINC000000000829,lig0308,target001,autodock,-7.920,target001,autodock,-7.470,target001,vina,-112.550,0.000,6.186,False
ZINC000000000839,lig0309,target001,autodock,-6.830,target001,vina,-7.415,target001,vina,-108.635,4.057,4.057,False
ZINC000000000844,lig0310,target001,vina,-7.610,target001,vina,-6.971,target001,autodock,-90.247,3.459,4.297,False
ZINC000000000847,lig0311,target001,autodock,-9.260,target001,autodock,-8.706,target001,autodock,-111.845,0.000,0.029,True
ZINC000000000850,lig0312,target001,autodock,-6.680,target001,autodock,-7.453,target001,dock,-76.722,1.596,2.634,False
ZINC000000000854,lig0313,target001,autodock,-7.060,target001,vina,-8.390,target001,autodock,-88.537,3.289,3.016,False
ZINC000000000856,lig0314,target001,autodock,-8.350,target001,vina,-8.229,target001,vina,-113.497,4.834,6.742,False
ZINC000000000857,lig0315,target001,autodock,-7.880,target001,vina,-8.484,target001,autodock,-88.647,4.274,6.414,False
ZINC000000000859,lig0316,target001,autodock,-5.510,target001,vina,-5.960,target001,dock,-73.226,4.917,20.882,False
ZINC000000000860,lig0317,target001,autodock,-9.710,target001,autodock,-7.888,target001,vina,-108.225,5.091,6.800,False
ZINC000000000861,lig0318,target001,vina,-8.410,target001,vina,-6.666,target001,autodock,-88.047,0.000,1.149,True
ZINC000000000865,lig0319,target001,autodock,-7.330,target001,vina,-7.934,target001,vina,-89.907,5.703,5.703,False
ZINC000000000867,lig0320,target001,autodock,-8.210,target001,autodock,-8.480,target001,autodock,-89.651,0.000,0.000,True
ZINC000000000868,lig0321,target001,autodock,-6.220,target001,autodock,-5.987,target001,dock,-73.395,2.200,3.698,False
ZINC000000000869,lig0322,target001,autodock,-7.790,target001,vina,-6.851,target001,vina,-87.228,4.562,4.562,False
ZINC000000000882,lig0323,target001,autodock,-4.100,target001,vina,-4.989,target001,vina,-52.736,12.820,18.714,False
ZINC000000000883,lig0324,target001,vina,-7.410,target001,vina,-8.315,target001,vina,-87.302,0.000,4.177,False
ZINC000000000886,lig0325,target001,autodock,-6.960,target001,dock,-7.762,target001,dock,-77.173,4.803,4.803,False
ZINC000000000887,lig0326,target001,autodock,-6.460,target001,dock,-6.337,target001,autodock,-58.683,17.869,5.054,False
ZINC000000000888,lig0327,target001,autodock,-8.380,target001,autodock,-8.744,target001,vina,-95.534,0.000,20.412,False
ZINC000000000889,lig0328,target001,autodock,-7.450,target001,vina,-8.150,target001,dock,-93.790,2.888,3.806,False
ZINC000000000903,lig0329,target001,autodock,-9.480,target001,vina,-9.154,target001,autodock,-92.517,7.628,6.263,False
ZINC000000000905,lig0330,target001,autodock,-2.520,target001,vina,-5.283,target001,dock,-66.860,4.041,1.404,False
ZINC000000000913,lig0331,target001,autodock,-7.580,target001,autodock,-6.635,target001,autodock,-69.707,0.642,0.000,True
ZINC000000000915,lig0332,target001,autodock,-6.330,target001,vina,-6.143,target001,dock,-71.981,5.440,21.365,False
ZINC000000000939,lig0333,target001,dock,-7.270,target001,dock,-7.272,target001,autodock,-75.889,7.080,8.060,False
ZINC000000000941,lig0334,target001,autodock,-8.620,target001,autodock,-7.528,target001,dock,-100.209,3.832,5.152,False
ZINC000000000945,lig0335,target001,autodock,-9.340,target001,autodock,-8.760,target001,autodock,-118.075,0.436,0.436,True
ZINC000000000947,lig0336,target001,autodock,-9.290,target001,autodock,-8.688,target001,vina,-120.122,0.000,0.006,True
ZINC000000000948,lig0337,target001,autodock,-9.200,target001,autodock,-8.623,target001,autodock,-104.674,0.000,3.787,False
ZINC000000000949,lig0338,target001,autodock,-6.630,target001,dock,-6.343,target001,autodock,-67.029,6.456,4.959,False
ZINC000000000954,lig0339,target001,autodock,-8.310,target001,vina,-7.992,target001,vina,-94.168,5.101,5.264,False
ZINC000000000957,lig0340,target001,autodock,-8.600,target001,vina,-8.284,target001,vina,-98.294,5.641,5.641,False
ZINC000000000961,lig0341,target001,autodock,-8.090,target001,vina,-7.621,target001,vina,-90.934,6.848,6.234,False
ZINC000000000964,lig0342,target001,autodock,-6.690,target001,vina,-6.696,target001,vina,-84.540,20.688,20.476,False
ZINC000000000974,lig0343,target001,autodock,-7.930,target001,autodock,-6.941,target001,vina,-86.467,0.000,4.008,False
ZINC000000000975,lig0344,target001,autodock,-8.560,target001,vina,-7.918,target001,autodock,-93.959,2.130,0.000,False
ZINC000000000978,lig0345,target001,autodock,-9.490,target001,autodock,-8.973,target001,autodock,-87.173,2.363,0.000,False
ZINC000000000985,lig0346,target001,autodock,-5.240,target001,vina,-6.866,target001,vina,-75.664,4.074,4.074,False
ZINC000000001003,lig0347,target001,autodock,-8.700,target001,autodock,-8.065,target001,autodock,-98.353,0.000,0.000,True
ZINC000000001008,lig0348,target001,vina,-6.590,target001,autodock,-7.505,target001,dock,-72.470,0.960,2.796,False
ZINC000000001009,lig0349,target001,vina,-8.240,target001,vina,-9.142,target001,autodock,-110.297,1.851,1.855,True
ZINC000000001012,lig0350,target001,autodock,-9.250,target001,vina,-9.480,target001,vina,-88.701,3.133,3.133,False
ZINC000000001030,lig0351,target001,autodock,-9.710,target001,vina,-9.053,target001,autodock,-98.159,4.453,5.393,False
ZINC000000001034,lig0352,target001,autodock,-6.920,target001,vina,-6.799,target001,vina,-100.615,4.792,3.918,False
ZINC000000001035,lig0353,target001,autodock,-5.440,target001,vina,-4.973,target001,autodock,-58.088,4.165,20.384,False
ZINC000000001037,lig0354,target001,autodock,-8.010,target001,vina,-7.806,target001,vina,-99.854,5.079,5.079,False
ZINC000000001038,lig0355,target001,autodock,-8.850,target001,autodock,-7.849,target001,autodock,-110.392,6.839,6.839,False
ZINC000000001043,lig0356,target001,vina,-8.300,target001,dock,-6.817,target001,dock,-90.927,20.509,20.509,False
ZINC000000001045,lig0357,target001,autodock,-4.880,target001,dock,-5.667,target001,autodock,-55.767,20.153,4.986,False
ZINC000000001046,lig0358,target001,autodock,-6.850,target001,autodock,-7.266,target001,vina,-85.011,0.000,6.833,False
ZINC000000001048,lig0359,target001,autodock,-8.480,target001,autodock,-7.040,target001,dock,-87.678,0.007,3.298,False
ZINC000000001049,lig0360,target001,autodock,-6.530,target001,vina,-6.604,target001,dock,-74.510,4.834,5.160,False
ZINC000000001052,lig0361,target001,autodock,-5.820,target001,vina,-6.525,target001,vina,-58.286,2.445,2.445,False
ZINC000000001059,lig0362,target001,autodock,-6.340,target001,autodock,-7.085,target001,autodock,-59.878,21.291,2.835,False
ZINC000000001063,lig0363,target001,autodock,-6.830,target001,dock,-6.815,target001,dock,-84.592,21.302,21.302,False
ZINC000000001071,lig0364,target001,autodock,-6.840,target001,vina,-7.747,target001,autodock,-90.028,3.526,0.000,False
ZINC000000001074,lig0365,target001,autodock,-8.190,target001,autodock,-7.243,target001,autodock,-104.603,4.563,0.000,False
ZINC000000001075,lig0366,target001,autodock,-6.780,target001,dock,-7.015,target001,dock,-72.558,1.137,3.867,False
ZINC000000001077,lig0367,target001,autodock,-10.370,target001,vina,-8.834,target001,autodock,-106.000,4.373,5.941,False
ZINC000000001080,lig0368,target001,autodock,-5.950,target001,autodock,-6.887,target001,dock,-70.893,20.643,20.254,False
ZINC000000001082,lig0369,target001,dock,-4.930,target001,vina,-4.719,target001,vina,-52.332,6.899,18.494,False
ZINC000000001083,lig0370,target001,autodock,-8.620,target001,autodock,-7.187,target001,autodock,-89.586,3.672,13.156,False
ZINC000000001084,lig0371,target001,autodock,-5.380,target001,autodock,-6.049,target001,autodock,-77.606,0.000,3.594,False
ZINC000000001091,lig0372,target001,autodock,-5.020,target001,dock,-5.040,target001,dock,-73.706,21.671,21.671,False
ZINC000000001093,lig0373,target001,autodock,-5.650,target001,autodock,-6.095,target001,autodock,-61.175,0.003,15.931,False
ZINC000000001095,lig0374,target001,autodock,-6.660,target001,vina,-7.685,target001,vina,-78.978,3.156,3.156,False
ZINC000000001097,lig0375,target001,autodock,-8.050,target001,autodock,-7.879,target001,vina,-94.504,3.734,3.523,False
ZINC000000001098,lig0376,target001,autodock,-5.580,target001,autodock,-7.233,target001,vina,-61.746,21.449,20.442,False
ZINC000000001102,lig0377,target001,autodock,-7.030,target001,vina,-7.469,target001,autodock,-87.015,3.193,5.178,False
ZINC000000001112,lig0378,target001,autodock,-9.960,target001,vina,-7.137,target001,vina,-100.020,3.223,3.223,False
ZINC000000001122,lig0379,target001,autodock,-5.040,target001,autodock,-6.793,target001,autodock,-56.886,20.597,12.934,False
ZINC000000001130,lig0380,target001,autodock,-5.610,target001,vina,-7.218,target001,dock,-60.444,1.095,18.818,False
ZINC000000001131,lig0381,target001,autodock,-6.660,target001,vina,-6.955,target001,dock,-64.131,4.452,17.782,False
ZINC000000001132,lig0382,target001,autodock,-5.020,target001,autodock,-6.382,target001,vina,-48.382,20.659,22.091,False
ZINC000000001136,lig0383,target001,autodock,-8.870,target001,vina,-7.156,target001,vina,-78.943,7.633,7.447,False
ZINC000000001137,lig0384,target001,autodock,-9.640,target001,vina,-8.623,target001,autodock,-109.856,4.689,0.000,False
ZINC000000001142,lig0385,target001,autodock,-5.130,target001,vina,-6.161,target001,vina,-62.833,4.173,4.173,False
